Value_c,Eval_Score,Last10_Avg
0.8,9647.090637078143,7315.599686697872
1.0,9575.668918679276,9039.181543427023
1.2,15048.642273394256,14483.866086740429
1.4,13780.17534016816,14880.648355941896
1.6,13311.504664081187,12700.200932951295
2.0,17552.23880876276,16933.350655811977
